title,description,severity,team
Rename internal field label,Internal admin field label is inconsistent with new terminology,trivial,frontend
Crash on empty file upload,Uploading a zero-byte file crashes the upload service,critical,backend
Unauthorized admin panel access,Non-admin users can reach admin routes by guessing the URL,critical,security
XSS in comment field,Comment field does not escape HTML allowing script injection,critical,security
Race condition in inventory update,Concurrent purchases can oversell inventory due to a race condition,critical,backend
Timezone displayed incorrectly,Event times shown in UTC instead of the user's local timezone,major,frontend
Broken link in footer,Footer 'About Us' link points to a 404 page,minor,frontend
Inconsistent spacing on cards,Card padding differs slightly between list and grid view,minor,frontend
Slow API response for reports endpoint,Reports endpoint takes over 5 seconds on large date ranges,major,backend
Password reset email not sent,Users report never receiving the password reset email,critical,backend
Two-factor code rejected incorrectly,Valid two-factor authentication codes are sometimes rejected,critical,security
Log message misformatted in The webhook handler,"the webhook handler writes a malformed log entry that breaks the standard log parser, though functionality is unaffected.",minor,backend
The background worker completely unresponsive in production,the background worker has been down for the last 20 minutes. Health checks are failing and no requests are succeeding.,critical,backend
Feature request: bulk export from The authentication service,Users want the ability to export multiple records from the authentication service at once instead of one at a time.,trivial,backend
Intermittent failures in The user service,"the user service fails roughly 1 in 20 requests with no clear pattern, requiring a manual retry.",major,backend
Memory leak causes The webhook handler to OOM-kill,"the webhook handler steadily consumes memory until the process is killed by the OS, roughly every 3 hours under normal load.",critical,backend
Missing authorization check on The audit log,the audit log does not verify the requesting user actually owns the resource being accessed.,major,security
The notification queue responds slowly under moderate load,"the notification queue takes 5-8 seconds to respond once concurrent users pass a few hundred, well above our target latency.",major,backend
The orders api returns 500 errors under load,"During peak traffic, the orders API intermittently throws internal server errors and requests fail completely. This is affecting a large share of users right now.",critical,backend
Weak rate limiting on The password reset flow,"the password reset flow allows far more requests per minute than intended, making brute-force attempts practical.",major,security
Sensitive fields logged in plaintext by The password reset flow,the password reset flow writes sensitive request fields to application logs without masking them.,major,security
Log message misformatted in The background worker,"the background worker writes a malformed log entry that breaks the standard log parser, though functionality is unaffected.",minor,backend
The billing microservice response includes unused debug field,the billing microservice still includes a debug field in production responses that should have been stripped.,minor,backend
Icon missing on the comment section,An icon fails to load on the comment section and shows a broken image placeholder instead.,minor,frontend
Sensitive data exposed via The file upload endpoint,the file upload endpoint leaks other users' personal data in its response when queried with a modified ID parameter.,critical,security
Log message misformatted in The export job,"the export job writes a malformed log entry that breaks the standard log parser, though functionality is unaffected.",minor,backend
The authentication service returns 500 errors under load,"During peak traffic, the authentication service intermittently throws internal server errors and requests fail completely. This is affecting a large share of users right now.",critical,backend
Placeholder text cut off in the notification dropdown,Placeholder text in the notification dropdown gets truncated on narrower browser windows.,minor,frontend
The rate limiter responds slowly under moderate load,"the rate limiter takes 5-8 seconds to respond once concurrent users pass a few hundred, well above our target latency.",major,backend
Feature request: remember last state on the notification dropdown,Users would like the notification dropdown to remember their last-used settings between visits.,trivial,frontend
Add caching to The reporting endpoint for minor speed gain,"the reporting endpoint could be marginally faster with a short-lived cache, though current performance is acceptable.",trivial,backend
Duplicate records created by The export job,"the export job occasionally creates two identical records for a single request, likely from a retry that isn't idempotent.",major,backend
Feature request: remember last state on the dashboard sidebar,Users would like the dashboard sidebar to remember their last-used settings between visits.,trivial,frontend
Add logging for successful auth on The user permissions check,"It would help audits to also log successful authentication events on the user permissions check, not only failures.",trivial,security
Intermittent failures in The orders api,"the orders API fails roughly 1 in 20 requests with no clear pattern, requiring a manual retry.",major,backend
The authentication service completely unresponsive in production,the authentication service has been down for the last 20 minutes. Health checks are failing and no requests are succeeding.,critical,backend
Placeholder text cut off in the onboarding flow,Placeholder text in the onboarding flow gets truncated on narrower browser windows.,minor,frontend
Duplicate records created by The payment processor,"the payment processor occasionally creates two identical records for a single request, likely from a retry that isn't idempotent.",major,backend
Authentication bypass in The user permissions check,"An attacker can bypass the user permissions check entirely by manipulating the request payload, gaining access without valid credentials.",critical,security
The webhook handler responds slowly under moderate load,"the webhook handler takes 5-8 seconds to respond once concurrent users pass a few hundred, well above our target latency.",major,backend
Feature request: bulk export from The caching layer,Users want the ability to export multiple records from the caching layer at once instead of one at a time.,trivial,backend
the search bar completely broken after latest deploy,the search bar is entirely non-functional since the last release — nothing renders and the console is full of errors.,critical,frontend
Rename field label on the navigation menu,A field label on the navigation menu uses outdated internal terminology and should be updated for clarity.,trivial,frontend
Duplicate records created by The search indexing job,"the search indexing job occasionally creates two identical records for a single request, likely from a retry that isn't idempotent.",major,backend
Typo in the search bar,A label on the search bar has a small spelling mistake.,trivial,frontend
Verbose error message from The api gateway,"the API gateway returns an overly detailed error message that reveals internal implementation details, though not directly exploitable.",minor,security
Intermittent failures in The reporting endpoint,"the reporting endpoint fails roughly 1 in 20 requests with no clear pattern, requiring a manual retry.",major,backend
Data loss when submitting the modal dialog,"Users lose all entered data if they navigate away from the modal dialog before it finishes saving, with no warning shown.",critical,frontend
Tooltip text outdated on the checkout form,The hover tooltip on the checkout form still references an old feature name that was renamed last quarter.,minor,frontend
Layout breaks on smaller screens in the navigation menu,the navigation menu overlaps with adjacent elements and becomes unusable below 768px width.,major,frontend
Add caching to The authentication service for minor speed gain,"the authentication service could be marginally faster with a short-lived cache, though current performance is acceptable.",trivial,backend
The export job returns stale data after updates,Changes made through the export job don't reflect in subsequent reads for up to 10 minutes.,major,backend
The session management system allows session hijacking,"Session tokens issued by the session management system are not properly invalidated, letting an attacker reuse a stolen token indefinitely.",critical,security
Weak rate limiting on The user permissions check,"the user permissions check allows far more requests per minute than intended, making brute-force attempts practical.",major,security
SQL injection vulnerability in The admin panel,"the admin panel does not sanitize user input, allowing arbitrary SQL execution through a crafted request.",critical,security
Inconsistent spacing on the onboarding flow,the onboarding flow has slightly different padding compared to similar elements elsewhere in the app.,minor,frontend
Missing authorization check on The file upload endpoint,the file upload endpoint does not verify the requesting user actually owns the resource being accessed.,major,security
Slow rendering on the pricing page with large datasets,the pricing page takes several seconds to become interactive once more than a few hundred items are loaded.,major,frontend
Sensitive data exposed via The session management system,the session management system leaks other users' personal data in its response when queried with a modified ID parameter.,critical,security
Verbose error message from The login endpoint,"the login endpoint returns an overly detailed error message that reveals internal implementation details, though not directly exploitable.",minor,security
Weak rate limiting on The two-factor authentication flow,"the two-factor authentication flow allows far more requests per minute than intended, making brute-force attempts practical.",major,security
App crashes on load in the pricing page,"the pricing page throws an unhandled exception on render, taking down the entire page for every user who visits it.",critical,frontend
Memory leak causes The search indexing job to OOM-kill,"the search indexing job steadily consumes memory until the process is killed by the OS, roughly every 3 hours under normal load.",critical,backend
Data loss when submitting the settings page,"Users lose all entered data if they navigate away from the settings page before it finishes saving, with no warning shown.",critical,frontend
Rename field label on the comment section,A field label on the comment section uses outdated internal terminology and should be updated for clarity.,trivial,frontend
Tooltip text outdated on the dashboard sidebar,The hover tooltip on the dashboard sidebar still references an old feature name that was renamed last quarter.,minor,frontend
Missing security header on The api token issuer,the API token issuer responses are missing a recommended security header; low risk but worth fixing.,minor,security
the notification dropdown completely broken after latest deploy,the notification dropdown is entirely non-functional since the last release — nothing renders and the console is full of errors.,critical,frontend
The oauth callback allows session hijacking,"Session tokens issued by the OAuth callback are not properly invalidated, letting an attacker reuse a stolen token indefinitely.",critical,security
Feature request: remember last state on the modal dialog,Users would like the modal dialog to remember their last-used settings between visits.,trivial,frontend
The payment processor crashes and loses in-flight data,the payment processor crashed mid-transaction and the associated records were left in a corrupted state with no rollback.,critical,backend
Minor inconsistency in The user service response format,the user service returns a field with inconsistent casing compared to the rest of the API.,minor,backend
Duplicate records created by The webhook handler,"the webhook handler occasionally creates two identical records for a single request, likely from a retry that isn't idempotent.",major,backend
Pagination breaks on the search bar,"Changing a filter or sort order on the search bar resets pagination to page 1 unexpectedly, losing the user's place.",major,frontend
the onboarding flow shows incorrect data after refresh,Refreshing the browser while on the onboarding flow sometimes shows outdated or partially loaded content.,major,frontend
Improve loading feedback on the comment section,"the comment section gives no visual feedback while a request is in flight, which feels unresponsive even though it works fine.",trivial,frontend
the profile editor completely broken after latest deploy,the profile editor is entirely non-functional since the last release — nothing renders and the console is full of errors.,critical,frontend
Authentication bypass in The api token issuer,"An attacker can bypass the API token issuer entirely by manipulating the request payload, gaining access without valid credentials.",critical,security
The caching layer returns stale data after updates,Changes made through the caching layer don't reflect in subsequent reads for up to 10 minutes.,major,backend
Slow rendering on the modal dialog with large datasets,the modal dialog takes several seconds to become interactive once more than a few hundred items are loaded.,major,frontend
Sensitive fields logged in plaintext by The login endpoint,the login endpoint writes sensitive request fields to application logs without masking them.,major,security
the settings page shows incorrect data after refresh,Refreshing the browser while on the settings page sometimes shows outdated or partially loaded content.,major,frontend
Privilege escalation through The password reset flow,A standard user can gain admin-level access by exploiting a flaw in the password reset flow.,critical,security
App crashes on load in the search bar,"the search bar throws an unhandled exception on render, taking down the entire page for every user who visits it.",critical,frontend
Color contrast low on the date picker,Text on the date picker is hard to read against its background in certain themes.,minor,frontend
Layout breaks on smaller screens in the date picker,the date picker overlaps with adjacent elements and becomes unusable below 768px width.,major,frontend
The export job response includes unused debug field,the export job still includes a debug field in production responses that should have been stripped.,minor,backend
Missing authorization check on The two-factor authentication flow,the two-factor authentication flow does not verify the requesting user actually owns the resource being accessed.,major,security
The search indexing job returns stale data after updates,Changes made through the search indexing job don't reflect in subsequent reads for up to 10 minutes.,major,backend
Verbose error message from The file upload endpoint,"the file upload endpoint returns an overly detailed error message that reveals internal implementation details, though not directly exploitable.",minor,security
Weak rate limiting on The audit log,"the audit log allows far more requests per minute than intended, making brute-force attempts practical.",major,security
The webhook handler crashes and loses in-flight data,the webhook handler crashed mid-transaction and the associated records were left in a corrupted state with no rollback.,critical,backend
Inconsistent spacing on the profile editor,the profile editor has slightly different padding compared to similar elements elsewhere in the app.,minor,frontend
Typo in the checkout form,A label on the checkout form has a small spelling mistake.,trivial,frontend
App crashes on load in the modal dialog,"the modal dialog throws an unhandled exception on render, taking down the entire page for every user who visits it.",critical,frontend
the checkout form shows incorrect data after refresh,Refreshing the browser while on the checkout form sometimes shows outdated or partially loaded content.,major,frontend
Feature request: remember last state on the onboarding flow,Users would like the onboarding flow to remember their last-used settings between visits.,trivial,frontend
The webhook handler returns stale data after updates,Changes made through the webhook handler don't reflect in subsequent reads for up to 10 minutes.,major,backend
App crashes on load in the comment section,"the comment section throws an unhandled exception on render, taking down the entire page for every user who visits it.",critical,frontend
Sensitive fields logged in plaintext by The user permissions check,the user permissions check writes sensitive request fields to application logs without masking them.,major,security
Minor inconsistency in The caching layer response format,the caching layer returns a field with inconsistent casing compared to the rest of the API.,minor,backend
Slow rendering on the navigation menu with large datasets,the navigation menu takes several seconds to become interactive once more than a few hundred items are loaded.,major,frontend
Database deadlock in The recommendation engine,"the recommendation engine is hitting a database deadlock under concurrent writes, causing requests to hang indefinitely until timeout.",critical,backend
Add caching to The background worker for minor speed gain,"the background worker could be marginally faster with a short-lived cache, though current performance is acceptable.",trivial,backend
The search indexing job completely unresponsive in production,the search indexing job has been down for the last 20 minutes. Health checks are failing and no requests are succeeding.,critical,backend
Form validation missing on the dashboard sidebar,"the dashboard sidebar accepts clearly invalid input without any error message, only failing silently on submit.",major,frontend
Improve loading feedback on the notification dropdown,"the notification dropdown gives no visual feedback while a request is in flight, which feels unresponsive even though it works fine.",trivial,frontend
SQL injection vulnerability in The file upload endpoint,"the file upload endpoint does not sanitize user input, allowing arbitrary SQL execution through a crafted request.",critical,security
Typo in the settings page,A label on the settings page has a small spelling mistake.,trivial,frontend
Form validation missing on the comment section,"the comment section accepts clearly invalid input without any error message, only failing silently on submit.",major,frontend
Pagination breaks on the modal dialog,"Changing a filter or sort order on the modal dialog resets pagination to page 1 unexpectedly, losing the user's place.",major,frontend
Placeholder text cut off in the login screen,Placeholder text in the login screen gets truncated on narrower browser windows.,minor,frontend
Database deadlock in The export job,"the export job is hitting a database deadlock under concurrent writes, causing requests to hang indefinitely until timeout.",critical,backend
Color contrast low on the comment section,Text on the comment section is hard to read against its background in certain themes.,minor,frontend
the modal dialog completely broken after latest deploy,the modal dialog is entirely non-functional since the last release — nothing renders and the console is full of errors.,critical,frontend
Icon missing on the file upload widget,An icon fails to load on the file upload widget and shows a broken image placeholder instead.,minor,frontend
Placeholder text cut off in the profile editor,Placeholder text in the profile editor gets truncated on narrower browser windows.,minor,frontend
Layout breaks on smaller screens in the file upload widget,the file upload widget overlaps with adjacent elements and becomes unusable below 768px width.,major,frontend
Icon missing on the onboarding flow,An icon fails to load on the onboarding flow and shows a broken image placeholder instead.,minor,frontend
Slow rendering on the file upload widget with large datasets,the file upload widget takes several seconds to become interactive once more than a few hundred items are loaded.,major,frontend
Database deadlock in The authentication service,"the authentication service is hitting a database deadlock under concurrent writes, causing requests to hang indefinitely until timeout.",critical,backend
The audit log allows session hijacking,"Session tokens issued by the audit log are not properly invalidated, letting an attacker reuse a stolen token indefinitely.",critical,security
Data loss when submitting the profile editor,"Users lose all entered data if they navigate away from the profile editor before it finishes saving, with no warning shown.",critical,frontend
Privilege escalation through The file upload endpoint,A standard user can gain admin-level access by exploiting a flaw in the file upload endpoint.,critical,security
Add logging for successful auth on The audit log,"It would help audits to also log successful authentication events on the audit log, not only failures.",trivial,security
Form validation missing on the login screen,"the login screen accepts clearly invalid input without any error message, only failing silently on submit.",major,frontend
Inconsistent spacing on the modal dialog,the modal dialog has slightly different padding compared to similar elements elsewhere in the app.,minor,frontend
Missing authorization check on The password reset flow,the password reset flow does not verify the requesting user actually owns the resource being accessed.,major,security
the notification dropdown shows incorrect data after refresh,Refreshing the browser while on the notification dropdown sometimes shows outdated or partially loaded content.,major,frontend
Improve loading feedback on the navigation menu,"the navigation menu gives no visual feedback while a request is in flight, which feels unresponsive even though it works fine.",trivial,frontend
Inconsistent spacing on the pricing page,the pricing page has slightly different padding compared to similar elements elsewhere in the app.,minor,frontend
Sensitive fields logged in plaintext by The audit log,the audit log writes sensitive request fields to application logs without masking them.,major,security
Improve loading feedback on the dashboard sidebar,"the dashboard sidebar gives no visual feedback while a request is in flight, which feels unresponsive even though it works fine.",trivial,frontend
Data loss when submitting the dashboard sidebar,"Users lose all entered data if they navigate away from the dashboard sidebar before it finishes saving, with no warning shown.",critical,frontend
Pagination breaks on the date picker,"Changing a filter or sort order on the date picker resets pagination to page 1 unexpectedly, losing the user's place.",major,frontend
Typo in the dashboard sidebar,A label on the dashboard sidebar has a small spelling mistake.,trivial,frontend
Tooltip text outdated on the profile editor,The hover tooltip on the profile editor still references an old feature name that was renamed last quarter.,minor,frontend
Add logging for successful auth on The admin panel,"It would help audits to also log successful authentication events on the admin panel, not only failures.",trivial,security
Layout breaks on smaller screens in the pricing page,the pricing page overlaps with adjacent elements and becomes unusable below 768px width.,major,frontend
Tooltip text outdated on the search bar,The hover tooltip on the search bar still references an old feature name that was renamed last quarter.,minor,frontend
The caching layer returns 500 errors under load,"During peak traffic, the caching layer intermittently throws internal server errors and requests fail completely. This is affecting a large share of users right now.",critical,backend
Icon missing on the settings page,An icon fails to load on the settings page and shows a broken image placeholder instead.,minor,frontend
Feature request: bulk export from The rate limiter,Users want the ability to export multiple records from the rate limiter at once instead of one at a time.,trivial,backend
Authentication bypass in The oauth callback,"An attacker can bypass the OAuth callback entirely by manipulating the request payload, gaining access without valid credentials.",critical,security
Color contrast low on the checkout form,Text on the checkout form is hard to read against its background in certain themes.,minor,frontend
Intermittent failures in The rate limiter,"the rate limiter fails roughly 1 in 20 requests with no clear pattern, requiring a manual retry.",major,backend
Missing security header on The login endpoint,the login endpoint responses are missing a recommended security header; low risk but worth fixing.,minor,security
Missing security header on The session management system,the session management system responses are missing a recommended security header; low risk but worth fixing.,minor,security
Color contrast low on the notification dropdown,Text on the notification dropdown is hard to read against its background in certain themes.,minor,frontend
The caching layer responds slowly under moderate load,"the caching layer takes 5-8 seconds to respond once concurrent users pass a few hundred, well above our target latency.",major,backend
Pagination breaks on the dashboard sidebar,"Changing a filter or sort order on the dashboard sidebar resets pagination to page 1 unexpectedly, losing the user's place.",major,frontend
Sensitive data exposed via The two-factor authentication flow,the two-factor authentication flow leaks other users' personal data in its response when queried with a modified ID parameter.,critical,security
The search indexing job crashes and loses in-flight data,the search indexing job crashed mid-transaction and the associated records were left in a corrupted state with no rollback.,critical,backend
Rename field label on the search bar,A field label on the search bar uses outdated internal terminology and should be updated for clarity.,trivial,frontend
Memory leak causes The export job to OOM-kill,"the export job steadily consumes memory until the process is killed by the OS, roughly every 3 hours under normal load.",critical,backend
Privilege escalation through The api gateway,A standard user can gain admin-level access by exploiting a flaw in the API gateway.,critical,security
Rename field label on the date picker,A field label on the date picker uses outdated internal terminology and should be updated for clarity.,trivial,frontend
Minor inconsistency in The notification queue response format,the notification queue returns a field with inconsistent casing compared to the rest of the API.,minor,backend
SQL injection vulnerability in The oauth callback,"the OAuth callback does not sanitize user input, allowing arbitrary SQL execution through a crafted request.",critical,security
Form validation missing on the profile editor,"the profile editor accepts clearly invalid input without any error message, only failing silently on submit.",major,frontend
The authentication service response includes unused debug field,the authentication service still includes a debug field in production responses that should have been stripped.,minor,backend
